,activation,epochs,loss_,neurons,optimizer_,means
43,relu,15,binary_crossentropy,16,RMSprop,88.44697078069052
44,relu,15,binary_crossentropy,32,sgd,77.43055621782938
45,relu,15,binary_crossentropy,32,adam,95.35984794298807
46,relu,15,binary_crossentropy,32,ftrl,54.98737494150797
47,relu,15,binary_crossentropy,32,RMSprop,89.23611044883728
48,relu,15,binary_crossentropy,64,sgd,83.36489995320639
49,relu,15,binary_crossentropy,64,adam,94.41287914911905
50,relu,15,binary_crossentropy,64,ftrl,54.98737494150797
51,relu,15,binary_crossentropy,64,RMSprop,87.84722288449606
52,relu,15,binary_crossentropy,128,sgd,79.79797919591269
53,relu,15,binary_crossentropy,128,adam,94.06565626462302
54,relu,15,binary_crossentropy,128,ftrl,54.98737494150797
55,relu,15,binary_crossentropy,128,RMSprop,87.21591035525003
56,relu,15,binary_crossentropy,256,sgd,71.14898959795633
57,relu,15,binary_crossentropy,256,adam,92.32954581578574
58,relu,15,binary_crossentropy,256,ftrl,54.98737494150797
59,relu,15,binary_crossentropy,256,RMSprop,80.93434572219849
60,relu,20,binary_crossentropy,16,sgd,76.67298118273416
61,relu,20,binary_crossentropy,16,adam,94.06565626462302
62,relu,20,binary_crossentropy,16,ftrl,37.815656264623
63,relu,20,binary_crossentropy,16,RMSprop,86.39520208040872
64,relu,20,binary_crossentropy,32,sgd,75.47348539034525
65,relu,20,binary_crossentropy,32,adam,94.41287914911905
66,relu,20,binary_crossentropy,32,ftrl,56.91288014252981
67,relu,20,binary_crossentropy,32,RMSprop,94.69696879386902
68,relu,20,binary_crossentropy,64,sgd,76.10479791959128
69,relu,20,binary_crossentropy,64,adam,95.67550420761108
70,relu,20,binary_crossentropy,64,ftrl,54.98737494150797
71,relu,20,binary_crossentropy,64,RMSprop,93.52903962135315
72,relu,20,binary_crossentropy,128,sgd,83.86994997660318
73,relu,20,binary_crossentropy,128,adam,95.32828132311502
74,relu,20,binary_crossentropy,128,ftrl,54.98737494150797
75,relu,20,binary_crossentropy,128,RMSprop,90.1830792427063
76,relu,20,binary_crossentropy,256,sgd,70.01262704531351
77,relu,20,binary_crossentropy,256,adam,95.07575829823813
78,relu,20,binary_crossentropy,256,ftrl,56.09217286109924
79,relu,20,binary_crossentropy,256,RMSprop,84.21717286109924
80,relu,25,binary_crossentropy,16,sgd,83.64898959795633
81,relu,25,binary_crossentropy,16,adam,94.69696879386902
82,relu,25,binary_crossentropy,16,ftrl,54.98737494150797
83,relu,25,binary_crossentropy,16,RMSprop,91.79292917251587
84,relu,25,binary_crossentropy,32,sgd,85.03787914911905
85,relu,25,binary_crossentropy,32,adam,97.1275250116984
86,relu,25,binary_crossentropy,32,ftrl,54.98737494150797
87,relu,25,binary_crossentropy,32,RMSprop,92.96085834503174
88,relu,25,binary_crossentropy,64,sgd,80.05050619443259
89,relu,25,binary_crossentropy,64,adam,95.83333333333334
90,relu,25,binary_crossentropy,64,ftrl,58.58585834503174
91,relu,25,binary_crossentropy,64,RMSprop,92.45580832163492
92,relu,25,binary_crossentropy,128,sgd,89.70959583918253
93,relu,25,binary_crossentropy,128,adam,93.78156661987305
94,relu,25,binary_crossentropy,128,ftrl,54.98737494150797
95,relu,25,binary_crossentropy,128,RMSprop,91.85606042544046
96,relu,25,binary_crossentropy,256,sgd,76.89393957455954
97,relu,25,binary_crossentropy,256,adam,96.4330792427063
98,relu,25,binary_crossentropy,256,ftrl,59.690658251444496
99,relu,25,binary_crossentropy,256,RMSprop,87.87878751754761
100,relu,30,binary_crossentropy,16,sgd,89.10984794298807
101,relu,30,binary_crossentropy,16,adam,96.40151659647623
102,relu,30,binary_crossentropy,16,ftrl,50.22095938523611
103,relu,30,binary_crossentropy,16,RMSprop,90.53030411402383
104,relu,30,binary_crossentropy,32,sgd,86.30050619443259
105,relu,30,binary_crossentropy,32,adam,95.95959583918253
106,relu,30,binary_crossentropy,32,ftrl,54.98737494150797
107,relu,30,binary_crossentropy,32,RMSprop,94.41287914911905
108,relu,30,binary_crossentropy,64,sgd,72.94823129971823
109,relu,30,binary_crossentropy,64,adam,96.11742297808328
110,relu,30,binary_crossentropy,64,ftrl,54.98737494150797
111,relu,30,binary_crossentropy,64,RMSprop,91.95075829823813
112,relu,30,binary_crossentropy,128,sgd,79.45075829823813
113,relu,30,binary_crossentropy,128,adam,92.70833333333334
114,relu,30,binary_crossentropy,128,ftrl,55.01893957455953
115,relu,30,binary_crossentropy,128,RMSprop,92.89772709210715
116,relu,30,binary_crossentropy,256,sgd,85.47979791959128
117,relu,30,binary_crossentropy,256,adam,94.41287914911905
118,relu,30,binary_crossentropy,256,ftrl,55.01894156138102
119,relu,30,binary_crossentropy,256,RMSprop,93.40277711550394
120,tanh,5,binary_crossentropy,16,sgd,54.98737494150797
121,tanh,5,binary_crossentropy,16,adam,69.50757503509521
122,tanh,5,binary_crossentropy,16,ftrl,54.98737494150797
123,tanh,5,binary_crossentropy,16,RMSprop,69.8232332865397
124,tanh,5,binary_crossentropy,32,sgd,54.98737494150797
125,tanh,5,binary_crossentropy,32,adam,75.75757503509521
126,tanh,5,binary_crossentropy,32,ftrl,54.98737494150797
127,tanh,5,binary_crossentropy,32,RMSprop,82.67045418421426
128,tanh,5,binary_crossentropy,64,sgd,57.35479990641276
129,tanh,5,binary_crossentropy,64,adam,87.43686874707541
130,tanh,5,binary_crossentropy,64,ftrl,54.98737494150797
131,tanh,5,binary_crossentropy,64,RMSprop,85.13257702191672
132,tanh,5,binary_crossentropy,128,sgd,67.58206884066263
133,tanh,5,binary_crossentropy,128,adam,91.16161664326987
134,tanh,5,binary_crossentropy,128,ftrl,54.98737494150797
135,tanh,5,binary_crossentropy,128,RMSprop,88.95201881726584
136,tanh,5,binary_crossentropy,256,sgd,73.07449380556741
137,tanh,5,binary_crossentropy,256,adam,91.5088395277659
138,tanh,5,binary_crossentropy,256,ftrl,54.98737494150797
139,tanh,5,binary_crossentropy,256,RMSprop,83.743687470754
140,tanh,10,binary_crossentropy,16,sgd,57.26010203361511
141,tanh,10,binary_crossentropy,16,adam,81.47095839182535
142,tanh,10,binary_crossentropy,16,ftrl,54.98737494150797
143,tanh,10,binary_crossentropy,16,RMSprop,80.77651460965475
144,tanh,10,binary_crossentropy,32,sgd,60.79545418421427
145,tanh,10,binary_crossentropy,32,adam,84.8169187704722
146,tanh,10,binary_crossentropy,32,ftrl,54.98737494150797
147,tanh,10,binary_crossentropy,32,RMSprop,85.85858543713888
148,tanh,10,binary_crossentropy,64,sgd,68.4974730014801
149,tanh,10,binary_crossentropy,64,adam,90.6881332397461
150,tanh,10,binary_crossentropy,64,ftrl,54.98737494150797
151,tanh,10,binary_crossentropy,64,RMSprop,87.12121248245239
152,tanh,10,binary_crossentropy,128,sgd,74.40025409062704
153,tanh,10,binary_crossentropy,128,adam,91.60353541374207
154,tanh,10,binary_crossentropy,128,ftrl,54.98737494150797
155,tanh,10,binary_crossentropy,128,RMSprop,85.44823129971823
156,tanh,10,binary_crossentropy,256,sgd,83.5542937119802
157,tanh,10,binary_crossentropy,256,adam,92.51893957455954
158,tanh,10,binary_crossentropy,256,ftrl,54.98737494150797
159,tanh,10,binary_crossentropy,256,RMSprop,84.6275250116984
160,tanh,15,binary_crossentropy,16,sgd,64.58333532015482
161,tanh,15,binary_crossentropy,16,adam,85.73232094446817
162,tanh,15,binary_crossentropy,16,ftrl,54.98737494150797
163,tanh,15,binary_crossentropy,16,RMSprop,83.01767508188883
164,tanh,15,binary_crossentropy,32,sgd,72.56944378217062
165,tanh,15,binary_crossentropy,32,adam,90.05681673685709
166,tanh,15,binary_crossentropy,32,ftrl,54.98737494150797
167,tanh,15,binary_crossentropy,32,RMSprop,87.21591035525003
168,tanh,15,binary_crossentropy,64,sgd,73.61111243565878
169,tanh,15,binary_crossentropy,64,adam,90.46717087427774
170,tanh,15,binary_crossentropy,64,ftrl,54.98737494150797
171,tanh,15,binary_crossentropy,64,RMSprop,89.42550420761108
172,tanh,15,binary_crossentropy,128,sgd,77.08333333333334
173,tanh,15,binary_crossentropy,128,adam,90.8143957455953
174,tanh,15,binary_crossentropy,128,ftrl,54.98737494150797
175,tanh,15,binary_crossentropy,128,RMSprop,91.76136255264282
176,tanh,15,binary_crossentropy,256,sgd,88.25757702191672
177,tanh,15,binary_crossentropy,256,adam,92.29797919591269
178,tanh,15,binary_crossentropy,256,ftrl,54.98737494150797
179,tanh,15,binary_crossentropy,256,RMSprop,91.66666666666666
180,tanh,20,binary_crossentropy,16,sgd,65.94065626462302
181,tanh,20,binary_crossentropy,16,adam,87.59469588597617
182,tanh,20,binary_crossentropy,16,ftrl,54.98737494150797
183,tanh,20,binary_crossentropy,16,RMSprop,87.91035413742065
184,tanh,20,binary_crossentropy,32,sgd,69.34974789619446
185,tanh,20,binary_crossentropy,32,adam,88.95202080408731
186,tanh,20,binary_crossentropy,32,ftrl,54.98737494150797
187,tanh,20,binary_crossentropy,32,RMSprop,85.16414165496826
188,tanh,20,binary_crossentropy,64,sgd,79.13510004679361
189,tanh,20,binary_crossentropy,64,adam,92.48737494150797
190,tanh,20,binary_crossentropy,64,ftrl,54.98737494150797
191,tanh,20,binary_crossentropy,64,RMSprop,85.32197078069052
192,tanh,20,binary_crossentropy,128,sgd,83.64898959795633
193,tanh,20,binary_crossentropy,128,adam,92.36111044883728
194,tanh,20,binary_crossentropy,128,ftrl,54.98737494150797
195,tanh,20,binary_crossentropy,128,RMSprop,89.23611243565878
196,tanh,20,binary_crossentropy,256,sgd,87.3106062412262
197,tanh,20,binary_crossentropy,256,adam,92.64520009358725
198,tanh,20,binary_crossentropy,256,ftrl,54.98737494150797
199,tanh,20,binary_crossentropy,256,RMSprop,92.73989796638489
200,tanh,25,binary_crossentropy,16,sgd,73.48484794298807
201,tanh,25,binary_crossentropy,16,adam,89.01515205701193
202,tanh,25,binary_crossentropy,16,ftrl,54.98737494150797
203,tanh,25,binary_crossentropy,16,RMSprop,84.40656661987305
204,tanh,25,binary_crossentropy,32,sgd,69.06565626462302
205,tanh,25,binary_crossentropy,32,adam,91.66666666666666
206,tanh,25,binary_crossentropy,32,ftrl,54.98737494150797
207,tanh,25,binary_crossentropy,32,RMSprop,89.20454581578574
208,tanh,25,binary_crossentropy,64,sgd,77.61994997660318
209,tanh,25,binary_crossentropy,64,adam,91.63510004679361
210,tanh,25,binary_crossentropy,64,ftrl,54.98737494150797
211,tanh,25,binary_crossentropy,64,RMSprop,91.00378751754761
212,tanh,25,binary_crossentropy,128,sgd,86.17424170176187
213,tanh,25,binary_crossentropy,128,adam,92.70833134651184
214,tanh,25,binary_crossentropy,128,ftrl,54.98737494150797
215,tanh,25,binary_crossentropy,128,RMSprop,89.07828330993652
216,tanh,25,binary_crossentropy,256,sgd,89.23611044883728
217,tanh,25,binary_crossentropy,256,adam,91.63510004679361
218,tanh,25,binary_crossentropy,256,ftrl,54.98737494150797
219,tanh,25,binary_crossentropy,256,RMSprop,93.59217286109924
220,tanh,30,binary_crossentropy,16,sgd,67.48737295468649
221,tanh,30,binary_crossentropy,16,adam,89.70959583918253
222,tanh,30,binary_crossentropy,16,ftrl,54.98737494150797
223,tanh,30,binary_crossentropy,16,RMSprop,87.37373749415079
224,tanh,30,binary_crossentropy,32,sgd,71.74873749415079
225,tanh,30,binary_crossentropy,32,adam,92.14015205701193
226,tanh,30,binary_crossentropy,32,ftrl,54.98737494150797
227,tanh,30,binary_crossentropy,32,RMSprop,89.52020009358725
228,tanh,30,binary_crossentropy,64,sgd,83.23863744735718
229,tanh,30,binary_crossentropy,64,adam,92.01388955116272
230,tanh,30,binary_crossentropy,64,ftrl,54.98737494150797
231,tanh,30,binary_crossentropy,64,RMSprop,90.59343536694846
232,tanh,30,binary_crossentropy,128,sgd,88.35227290789285
233,tanh,30,binary_crossentropy,128,adam,93.87626250584921
